Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
17100,716839,0.0368,9964.1326,81.6800,32264.8281,508.36,30.7775,-0.9648,-17.4031,-5.4852,61.5550,22.4768,-60.7005,-0.9659,-0.0100
17200,737522,0.0335,9088.4807,73.2300,27212.8750,962.86,31.9936,-0.9776,-16.3917,-5.7204,63.9872,23.4567,-61.5459,-0.8558,-0.0100
17300,763143,0.0298,12135.8539,94.3300,243489.7656,1521.92,32.6727,-0.9840,-17.4844,-5.5644,65.3454,23.4543,-62.9082,-0.8028,-0.0100
17400,788904,0.0264,11267.4169,94.6900,27875.5117,2081.78,32.7801,-1.0022,-16.2320,-5.6541,65.5602,24.3017,-65.4591,-0.7850,-0.0100
17500,819805,0.0229,16337.7679,116.8100,100775.1094,2752.16,34.8715,-0.9674,-15.2528,-5.6082,69.7429,25.6297,-65.4592,-0.6284,-0.0100
17600,858504,0.0192,23092.6151,150.1000,59884.7734,3657.56,34.7453,-0.9473,-14.8528,-5.4762,69.4906,25.1720,-62.6745,-0.6274,-0.0100
17700,914336,0.0148,40483.1848,223.6900,71573.4141,4963.00,36.2645,-0.8817,-12.0242,-5.6254,72.5289,27.5457,-56.1403,-0.5407,-0.0100
17800,967434,0.0116,40590.1552,212.6500,52324.5859,6194.35,37.4466,-0.8558,-10.9317,-5.5195,74.8933,28.9212,-54.8352,-0.4387,-0.0100
17900,1042867,0.0100,65353.1167,308.4400,37885.4609,7928.53,38.4928,-0.8196,-10.1362,-5.3632,76.9856,29.7309,-51.8610,-0.3512,-0.0100
