Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
3300,65429,0.7398,-1429.0509,0.2200,17791.9199,407.97,0.9549,-1.0383,-52.8796,-10.6617,1.9097,0.0000,-4.7213,-6.4178,-0.0100
3400,67333,0.7334,-1463.4654,0.1200,14300.8906,439.90,0.5176,-1.0379,-55.9457,-10.5389,1.0352,0.0000,-4.3385,-6.5645,-0.0100
3500,69205,0.7271,-1406.2352,0.1800,21200.1641,470.86,0.7882,-1.0416,-54.2500,-10.4470,1.5765,0.0667,-4.4283,-6.7390,-0.0100
3600,71230,0.7203,-1474.9485,0.3000,7279.0303,504.73,1.2688,-1.0535,-54.1631,-10.9707,2.5375,0.0741,-4.5435,-6.2033,-0.0100
3700,73249,0.7137,-1455.3739,0.2900,12198.8906,538.90,1.1180,-1.0648,-53.5704,-10.6175,2.2360,0.1569,-4.6528,-6.4242,-0.0100
3800,75241,0.7072,-1463.8242,0.1600,8765.3027,572.26,0.6831,-1.0545,-53.2813,-10.2944,1.3662,0.0000,-4.7319,-6.2631,-0.0100
3900,77239,0.7007,-1429.7128,0.2500,6842.2441,606.32,1.1655,-1.0402,-53.1205,-10.1711,2.3311,0.1946,-4.5370,-6.2600,-0.0100
4000,79252,0.6942,-1416.3473,0.3300,5667.8159,640.25,1.4572,-1.0490,-52.7985,-10.4682,2.9145,0.2356,-4.4721,-6.2588,-0.0100
4100,81265,0.6878,-1426.8693,0.2500,12975.1943,673.84,1.0490,-1.0570,-50.8659,-10.6279,2.0980,0.1481,-4.9039,-6.3189,-0.0100
4200,83282,0.6815,-1393.2457,0.2500,10857.1270,709.09,1.1097,-1.0325,-50.4385,-10.4070,2.2193,0.1429,-4.3191,-6.2119,-0.0100
4300,85276,0.6752,-1404.9634,0.1600,6479.4375,744.61,0.7217,-1.0373,-50.4837,-10.2784,1.4433,0.0000,-4.5021,-6.3160,-0.0100
4400,87308,0.6689,-1348.9742,0.2300,15035.5029,781.32,0.8901,-1.0313,-47.5847,-10.5226,1.7801,0.0000,-4.1800,-6.2369,-0.0100
4500,89347,0.6627,-1319.6719,0.3100,7357.4331,817.64,1.2636,-1.0341,-47.7987,-10.0653,2.5273,0.1292,-3.9244,-6.1916,-0.0100
4600,91451,0.6563,-1443.1754,0.3800,12224.0449,854.55,1.5237,-1.0369,-51.5631,-10.3982,3.0474,0.0833,-4.8893,-6.0276,-0.0100
4700,93586,0.6499,-1418.3405,0.3400,10702.9297,892.73,1.4074,-1.0511,-49.8321,-10.2475,2.8147,0.0714,-4.4555,-5.9310,-0.0100
4800,95683,0.6436,-1334.2627,0.4300,9576.9844,930.30,1.7701,-1.0388,-47.8871,-10.4671,3.5402,0.0625,-4.1527,-6.0186,-0.0100
4900,97711,0.6376,-1359.4538,0.3200,17885.3359,966.42,1.3351,-1.0419,-49.8518,-10.5059,2.6702,0.1386,-4.3632,-6.2635,-0.0100
5000,99736,0.6317,-1392.5085,0.2600,11713.8633,1002.46,1.1499,-1.0398,-50.1962,-10.2479,2.2998,0.0588,-4.3788,-6.1566,-0.0100
5100,101743,0.6259,-1398.1277,0.3400,17361.5820,1033.03,1.4190,-1.0514,-52.7791,-10.1976,2.8380,0.0000,-4.1638,-6.4012,-0.0100
5200,103919,0.6197,-1283.5326,0.5400,6720.0713,1066.77,2.1401,-1.0309,-45.3711,-9.7944,4.2801,0.3124,-4.7230,-5.8829,-0.0100
5300,105930,0.6140,-1230.6171,0.3900,11294.1660,1101.65,1.7484,-1.0225,-45.5668,-9.9654,3.4968,0.0000,-3.7039,-6.3742,-0.0100
5400,108064,0.6080,-1297.8614,0.4900,5767.3940,1134.48,1.9714,-1.0417,-46.8511,-10.1136,3.9428,0.3829,-3.8749,-5.9798,-0.0100
5500,110214,0.6020,-1330.0130,0.4700,7325.5967,1167.85,1.8962,-1.0321,-46.7009,-10.0202,3.7924,0.0000,-3.9825,-5.9413,-0.0100
5600,112273,0.5963,-1343.5049,0.3700,5825.8066,1199.56,1.4456,-1.0447,-49.2270,-10.1678,2.8912,0.3004,-4.0373,-6.2036,-0.0100
5700,114378,0.5905,-1320.7355,0.4200,1940.1387,1232.41,1.7573,-1.0422,-48.1322,-9.9716,3.5145,0.2407,-4.1036,-6.0093,-0.0100
5800,116490,0.5848,-1196.0112,0.5400,4987.9185,1265.71,2.1253,-1.0213,-43.0292,-10.1497,4.2506,0.1459,-4.3283,-6.0661,-0.0100
5900,118621,0.5791,-1279.3051,0.5100,10517.2754,1299.64,2.0445,-1.0313,-46.5327,-9.6618,4.0891,0.0714,-3.8408,-6.0041,-0.0100
6000,120708,0.5736,-1246.0397,0.5400,5083.9839,1332.70,2.1667,-1.0392,-46.0317,-10.3239,4.3334,0.0000,-4.1233,-6.2259,-0.0100
6100,122872,0.5679,-1356.9064,0.5900,2624.8384,1366.90,2.1347,-1.0609,-49.1239,-10.4609,4.2693,0.1032,-4.3570,-5.9687,-0.0100
6200,125057,0.5622,-1271.9785,0.5600,7307.9355,1404.66,2.2597,-1.0449,-45.2060,-9.9551,4.5194,0.3193,-4.2270,-5.8752,-0.0100
6300,127255,0.5565,-1206.7198,0.6400,10103.0117,1440.63,2.3813,-1.0147,-43.7576,-9.5239,4.7626,0.3909,-4.2530,-5.7970,-0.0100
6400,129353,0.5512,-1216.6068,0.5400,9062.2988,1474.60,2.1314,-1.0194,-45.6675,-9.7931,4.2628,0.2173,-4.0064,-6.1866,-0.0100
6500,131433,0.5459,-1085.5900,0.6500,7257.0850,1511.86,2.5539,-1.0096,-41.5647,-9.9497,5.1077,0.4378,-3.5169,-6.1878,-0.0100
6600,133631,0.5404,-1221.7078,0.7100,2674.7688,1553.15,2.5993,-1.0205,-45.0594,-9.5935,5.1986,0.2728,-4.1549,-5.8985,-0.0100
6700,135779,0.5351,-1194.5068,0.5800,7694.1357,1588.09,2.2738,-1.0355,-43.6299,-9.8414,4.5477,0.1357,-3.6069,-5.9956,-0.0100
6800,137957,0.5298,-1196.7398,0.6600,16801.0117,1624.97,2.4788,-1.0274,-43.9367,-9.9553,4.9577,0.2504,-3.6632,-5.8978,-0.0100
6900,140187,0.5244,-1188.7310,0.7200,10066.8711,1664.24,2.8707,-1.0356,-43.9532,-10.0243,5.7414,0.7468,-3.6723,-5.6851,-0.0100
7000,142351,0.5192,-1096.1894,0.6900,12587.2930,1701.15,2.7181,-1.0100,-40.1655,-9.9544,5.4361,0.0690,-3.5873,-5.9809,-0.0100
7100,144585,0.5138,-1087.8654,0.8800,23158.3203,1738.58,3.1580,-1.0036,-42.0287,-9.6702,6.3161,0.5362,-3.5910,-5.8242,-0.0100
7200,146849,0.5085,-1199.2564,0.6900,4097.7920,1778.84,2.5634,-1.0282,-42.6021,-9.6524,5.1267,0.2672,-4.3342,-5.6339,-0.0100
7300,149087,0.5033,-1105.4938,0.7900,18648.0000,1824.78,3.0196,-1.0218,-40.9561,-9.6931,6.0391,0.3798,-3.6729,-5.7876,-0.0100
7400,151298,0.4982,-1225.6411,0.6900,20601.3203,1862.51,2.6672,-1.0486,-45.6390,-9.7647,5.3345,0.3495,-3.8361,-5.7578,-0.0100
7500,153651,0.4928,-1166.9263,0.8800,12121.9189,1902.96,3.1008,-1.0408,-41.2434,-9.8501,6.2017,0.4481,-3.8266,-5.4743,-0.0100
7600,155910,0.4877,-1088.3369,0.8200,7220.4204,1941.92,2.9271,-1.0398,-40.7306,-9.7978,5.8541,0.6053,-3.4204,-5.7242,-0.0100
7700,158240,0.4825,-1162.1760,0.9200,12639.2549,1983.70,3.2368,-1.0517,-42.1776,-10.0923,6.4735,0.4622,-3.7639,-5.6672,-0.0100
7800,160630,0.4772,-1092.3550,1.0800,6217.5176,2028.53,3.8646,-1.0159,-40.9100,-9.5079,7.7292,0.7495,-3.7712,-5.4187,-0.0100
7900,162903,0.4723,-1104.8033,0.9200,9087.7266,2068.94,3.2872,-1.0235,-41.1036,-9.7566,6.5743,0.5164,-3.6562,-5.8286,-0.0100
8000,165230,0.4672,-1060.8997,0.9000,3991.9722,2113.51,3.1105,-1.0120,-38.5131,-9.6463,6.2209,0.4116,-3.5151,-5.5718,-0.0100
8100,167574,0.4622,-1036.1294,0.9600,6811.7700,2159.57,3.4343,-1.0018,-37.8913,-9.0369,6.8685,0.6570,-3.9956,-5.4422,-0.0100
8200,169945,0.4572,-1165.0271,0.9000,9468.2441,2205.00,3.1702,-1.0293,-42.0915,-9.5634,6.3404,0.4309,-3.7842,-5.4854,-0.0100
8300,172339,0.4522,-992.9644,1.1700,16209.9277,2250.61,3.9816,-1.0063,-37.6690,-9.2408,7.9632,0.7688,-3.4398,-5.4484,-0.0100
8400,174687,0.4473,-982.8048,1.1200,9615.2285,2294.13,3.8905,-1.0090,-37.7481,-9.5098,7.7810,0.5702,-3.9254,-5.5648,-0.0100
8500,177098,0.4424,-913.3241,1.3900,4821.1831,2338.30,4.5993,-0.9980,-37.6147,-9.5430,9.1987,1.0562,-3.7862,-5.4649,-0.0100
8600,179463,0.4376,-898.4005,1.2700,3876.7605,2382.81,4.7490,-0.9873,-36.3343,-9.3061,9.4980,1.0731,-3.4041,-5.4742,-0.0100
8700,181996,0.4325,-999.1813,1.3000,7514.5200,2431.42,4.3978,-1.0084,-37.5789,-8.9714,8.7956,0.8424,-3.8341,-5.0706,-0.0100
8800,184395,0.4278,-906.9609,1.3000,14113.5566,2473.26,4.1504,-1.0043,-36.3042,-9.3078,8.3008,0.8311,-3.7233,-5.4921,-0.0100
8900,186783,0.4231,-993.6188,1.1700,4749.8579,2515.78,3.9825,-1.0141,-38.7890,-9.2794,7.9649,0.6458,-3.2969,-5.4040,-0.0100
9000,189276,0.4183,-899.4673,1.5000,9380.7559,2560.07,4.7939,-1.0186,-37.4691,-9.5922,9.5878,1.0939,-3.5127,-5.3834,-0.0100
9100,191772,0.4135,-999.4676,1.1700,14452.5879,2604.48,3.9463,-1.0247,-36.4417,-9.1256,7.8926,0.5306,-3.3225,-5.2102,-0.0100
9200,194331,0.4086,-923.1799,1.4400,14786.0850,2651.83,4.8183,-1.0018,-36.0223,-8.7277,9.6365,0.6278,-3.6229,-5.0861,-0.0100
9300,196857,0.4039,-1021.3976,1.2800,8409.4609,2700.49,4.1662,-1.0298,-37.7773,-9.1399,8.3324,0.5669,-3.6464,-5.2733,-0.0100
9400,199388,0.3992,-953.0931,1.4300,9583.2520,2748.19,4.5294,-1.0010,-38.8870,-8.5763,9.0589,0.9777,-3.6325,-5.2425,-0.0100
9500,201947,0.3946,-879.7609,1.5800,9838.3945,2795.66,5.0008,-1.0023,-36.1768,-8.8914,10.0017,0.9052,-3.7779,-5.1554,-0.0100
9600,204723,0.3895,-985.6066,1.6700,11582.0684,2844.89,4.8443,-1.0322,-37.8390,-8.6878,9.6886,1.0627,-3.6003,-4.7131,-0.0100
9700,207354,0.3849,-902.0231,1.6300,17464.8281,2893.45,5.1811,-1.0048,-36.2163,-8.6756,10.3622,0.7801,-3.6690,-4.9468,-0.0100
9800,210037,0.3801,-889.4733,1.7500,12748.6797,2944.14,5.6489,-0.9960,-36.3295,-8.6973,11.2978,1.0564,-3.7871,-4.7977,-0.0100
9900,212749,0.3754,-838.0022,1.7900,14835.1934,2998.06,5.7066,-0.9958,-34.6524,-8.5387,11.4133,1.0679,-3.5169,-4.8209,-0.0100
10000,215510,0.3707,-860.7791,1.8500,4373.8877,3052.32,5.8533,-0.9959,-35.0000,-8.5017,11.7065,1.2539,-3.9853,-4.6553,-0.0100
10100,218196,0.3661,-818.8546,1.8100,6154.4561,3107.53,5.5371,-0.9960,-35.0976,-8.5906,11.0742,1.3655,-3.5529,-5.0359,-0.0100
10200,221153,0.3612,-736.2357,2.5100,4994.7578,3164.64,6.9640,-0.9969,-36.4959,-8.0421,13.9279,1.6866,-4.0440,-4.6043,-0.0100
10300,224010,0.3564,-731.6567,2.2700,2162.0903,3221.05,6.5682,-0.9860,-35.4269,-8.0979,13.1363,1.9383,-3.9186,-4.7009,-0.0100
10400,226790,0.3519,-812.6870,2.0400,5797.5840,3278.22,6.2902,-0.9939,-35.9849,-8.0997,12.5805,1.4295,-3.8597,-4.8033,-0.0100
10500,229647,0.3473,-862.4267,2.0100,11231.3906,3331.66,6.2964,-1.0103,-35.4047,-8.3594,12.5927,1.9032,-4.3174,-4.4998,-0.0100
10600,232638,0.3426,-698.2881,2.4500,14035.8154,3389.52,7.2574,-0.9724,-33.3938,-7.5326,14.5147,1.5460,-4.0601,-4.3551,-0.0100
10700,235487,0.3381,-708.5719,2.3500,13001.0977,3444.49,6.7892,-0.9827,-35.0322,-8.3308,13.5785,1.4226,-3.8456,-4.6297,-0.0100
10800,238424,0.3335,-730.0377,2.2400,2685.0571,3505.46,6.5734,-0.9777,-32.6831,-7.7132,13.1468,1.7015,-3.9210,-4.4748,-0.0100
10900,241462,0.3289,-727.2378,2.5800,6008.1489,3564.41,7.4589,-0.9846,-34.7946,-7.6477,14.9179,1.9786,-4.1931,-4.3085,-0.0100
11000,244564,0.3242,-629.4252,2.8900,6931.6558,3622.52,8.0324,-0.9720,-34.0260,-7.8254,16.0649,2.0425,-4.2214,-4.3333,-0.0100
11100,247611,0.3197,-739.2347,2.5500,9801.1328,3684.24,7.0298,-0.9900,-35.1480,-7.8905,14.0596,2.2035,-4.6263,-4.3410,-0.0100
11200,251041,0.3147,-448.0990,3.7000,11943.1787,3751.93,8.7599,-0.9767,-31.6973,-7.2383,17.5199,2.2677,-5.2426,-4.0091,-0.0100
11300,254093,0.3103,-596.9632,2.6100,14921.0635,3809.85,7.4288,-0.9540,-31.6265,-7.4389,14.8576,2.1285,-3.8893,-4.2961,-0.0100
11400,257210,0.3059,-627.5397,2.8600,12753.1582,3869.24,7.9526,-0.9818,-34.0760,-7.7371,15.9053,2.5856,-4.5853,-4.2048,-0.0100
11500,260437,0.3014,-615.0677,3.0400,15531.7637,3930.97,8.2032,-0.9716,-32.3499,-7.5628,16.4064,1.5461,-4.4997,-4.0593,-0.0100
11600,263692,0.2969,-479.6495,3.1700,27853.1953,3993.22,8.2796,-0.9708,-31.6898,-7.5776,16.5592,2.9016,-4.2763,-4.0865,-0.0100
11700,266966,0.2925,-508.5064,3.3400,16314.5352,4056.54,8.3518,-0.9682,-33.2687,-7.3044,16.7036,2.2591,-4.4567,-4.1315,-0.0100
11800,270170,0.2882,-576.8594,3.1100,14895.3418,4117.96,8.3967,-0.9814,-32.5872,-7.7870,16.7934,2.0665,-4.6722,-4.1945,-0.0100
11900,273487,0.2838,-412.3837,3.4500,9655.1816,4181.94,8.7325,-0.9590,-30.4368,-7.1737,17.4651,2.7116,-4.5790,-4.0904,-0.0100
12000,276971,0.2793,-312.9004,4.0800,6278.3301,4249.28,9.8654,-0.9599,-30.9279,-7.6649,19.7307,2.8102,-4.7468,-3.9714,-0.0100
12100,280671,0.2746,-236.5580,4.5100,6541.1431,4321.75,10.5675,-0.9646,-31.3148,-6.9718,21.1349,3.6777,-5.1893,-3.6406,-0.0100
12200,284144,0.2702,-399.5243,3.7000,6888.6416,4389.61,9.1796,-0.9887,-31.5926,-7.2110,18.3592,3.3990,-4.7301,-3.8280,-0.0100
12300,287703,0.2658,-322.2019,4.0200,11973.0449,4459.30,9.9908,-0.9600,-30.8089,-7.2434,19.9817,3.5582,-4.9457,-3.7103,-0.0100
12400,291415,0.2613,-156.6282,4.6800,7560.3457,4531.93,10.6647,-0.9677,-30.2110,-7.2353,21.3293,3.8471,-5.3982,-3.7625,-0.0100
12500,295297,0.2567,-88.0432,5.1600,8153.7617,4608.84,11.5809,-0.9632,-30.6985,-6.7680,23.1617,4.3092,-5.5158,-3.4675,-0.0100
12600,299121,0.2522,-154.7834,4.8100,22389.9727,4684.43,10.7834,-0.9808,-30.6337,-6.9637,21.5668,4.1856,-5.3334,-3.5315,-0.0100
12700,303188,0.2475,44.8203,5.6400,8612.2744,4764.70,11.5885,-0.9742,-30.7778,-6.9668,23.1770,4.2914,-5.5430,-3.3642,-0.0100
12800,307066,0.2431,3.7752,5.1900,10347.3848,4841.91,11.6107,-0.9442,-30.1240,-6.4239,23.2214,4.4600,-5.4560,-3.4928,-0.0100
12900,311037,0.2387,-107.5471,5.2000,15846.2529,4920.41,11.2658,-0.9879,-30.6965,-6.8662,22.5317,4.1119,-5.9951,-3.3680,-0.0100
13000,314837,0.2346,-119.4320,4.8700,8957.9707,4995.59,11.1464,-0.9570,-29.8447,-7.2102,22.2928,3.8157,-5.9588,-3.6280,-0.0100
13100,318908,0.2302,195.7609,5.9700,12238.2627,5076.77,12.4874,-0.9373,-28.6837,-6.6765,24.9748,5.0011,-6.4517,-3.4475,-0.0100
13200,323512,0.2254,391.3266,7.2800,35749.9727,5169.43,14.0589,-0.9750,-28.5336,-6.1012,28.1179,5.9274,-8.2711,-2.8995,-0.0100
13300,327940,0.2209,137.6202,6.6800,13305.8281,5258.43,12.3805,-0.9887,-30.1212,-6.3439,24.7609,4.9829,-8.6688,-3.1872,-0.0100
13400,332431,0.2163,232.5539,6.9200,7801.8315,5348.97,12.8799,-0.9788,-29.4754,-6.0678,25.7598,5.0787,-9.1800,-3.1295,-0.0100
13500,337093,0.2117,388.3828,7.6900,5177.2666,5443.28,13.8040,-0.9812,-29.6098,-6.4516,27.6079,5.7850,-9.3242,-3.1142,-0.0100
13600,341766,0.2072,338.2747,7.4400,12804.9609,5537.38,13.9662,-0.9955,-28.9303,-6.7788,27.9325,5.8831,-9.5041,-2.9790,-0.0100
13700,346365,0.2029,207.8811,7.1100,29041.4043,5630.31,13.1652,-0.9853,-28.2904,-6.4047,26.3305,4.7594,-9.6513,-3.0035,-0.0100
13800,351415,0.1982,514.3420,8.5400,13857.2559,5732.99,14.9780,-0.9963,-28.5349,-6.0839,29.9560,6.6256,-10.4287,-2.6644,-0.0100
13900,356352,0.1938,647.3193,8.5200,26362.7676,5833.48,14.1233,-0.9785,-27.9745,-6.3873,28.2466,6.6459,-10.3005,-2.9590,-0.0100
14000,361442,0.1893,633.1260,8.8400,15579.7422,5941.08,14.7696,-0.9874,-27.7312,-6.2083,29.5393,6.2215,-10.3554,-2.7903,-0.0100
14100,367175,0.1844,1238.1317,11.2200,39019.4570,6063.83,16.7681,-0.9920,-27.7082,-6.1414,33.5361,8.2064,-11.1391,-2.5012,-0.0100
14200,373037,0.1794,1313.0058,11.4800,18134.2305,6192.24,17.0304,-0.9861,-27.2872,-5.8718,34.0608,7.8574,-10.8165,-2.4118,-0.0100
14300,379021,0.1746,1482.1796,12.0200,7537.0410,6324.67,18.0559,-0.9530,-26.0971,-5.8532,36.1118,8.7469,-10.7678,-2.2835,-0.0100
14400,385251,0.1696,1875.2430,13.2200,8890.1436,6461.65,18.5372,-0.9373,-25.8016,-5.8021,37.0744,9.0603,-10.8077,-2.3397,-0.0100
14500,391127,0.1651,1518.9894,11.9100,15748.9111,6590.33,17.6571,-0.9399,-25.8618,-6.0276,35.3142,7.8365,-10.6072,-2.4796,-0.0100
14600,397557,0.1603,1859.4760,13.6200,21017.2461,6740.31,19.0992,-0.9607,-24.6033,-5.7782,38.1984,8.8250,-11.4613,-2.1984,-0.0100
14700,403934,0.1556,1913.1353,13.5700,31615.8594,6885.99,18.7815,-0.9515,-25.4721,-5.6474,37.5630,9.1178,-11.0837,-2.2569,-0.0100
14800,410991,0.1507,2568.4393,16.2700,42272.5938,7031.49,20.3319,-0.9552,-26.0590,-5.9436,40.6638,10.5053,-11.1896,-2.1299,-0.0100
14900,418035,0.1459,2616.2196,16.2500,58188.5234,7188.86,20.5630,-0.9658,-25.1600,-5.7756,41.1260,10.5576,-11.4306,-2.0595,-0.0100
15000,425767,0.1408,3277.5258,18.8000,31568.8203,7387.69,21.6056,-0.9536,-24.7814,-5.6876,43.2112,11.2833,-11.8228,-1.8613,-0.0100
