Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
2100,41779,0.8250,-1678.3913,0.2300,9636.1855,33.03,0.9650,-1.0736,-61.6521,-10.1874,1.9301,0.0000,-5.2058,-6.0665,-0.0100
2200,43807,0.8173,-1741.9738,0.1400,1617.3861,65.57,0.5360,-1.0848,-64.1549,-10.6114,1.0721,0.0000,-4.9465,-6.2012,-0.0100
2300,45837,0.8097,-1698.5710,0.1200,14280.0410,98.46,0.5290,-1.0791,-62.0463,-10.0243,1.0580,0.0000,-5.6132,-6.1114,-0.0100
2400,47758,0.8026,-1573.7711,0.0900,27172.8613,129.82,0.3892,-1.0691,-58.7763,-10.9028,0.7784,0.0000,-4.8905,-6.5544,-0.0100
2500,49733,0.7953,-1722.7555,0.0800,21277.5684,158.58,0.3386,-1.0835,-64.5015,-10.5687,0.6771,0.0000,-5.4644,-6.3387,-0.0100
2600,51654,0.7883,-1593.7521,0.1000,21189.4453,189.24,0.4132,-1.0748,-60.5291,-10.7626,0.8264,0.0000,-5.1107,-6.5239,-0.0100
2700,53628,0.7812,-1622.8824,0.1500,16094.6719,221.00,0.5890,-1.0776,-60.1969,-10.8311,1.1779,0.0000,-4.9841,-6.4202,-0.0100
2800,55615,0.7741,-1509.4777,0.1300,3705.7305,253.30,0.5737,-1.0404,-54.9093,-10.2226,1.1474,0.0000,-4.8489,-6.2792,-0.0100
2900,57511,0.7673,-1461.0916,0.2300,11647.9727,284.47,0.9954,-1.0544,-56.8913,-11.0128,1.9909,0.0000,-4.5575,-6.6952,-0.0100
3000,59495,0.7603,-1580.6414,0.1300,9974.1992,313.05,0.5968,-1.0724,-58.3422,-10.4001,1.1936,0.0000,-4.8442,-6.2900,-0.0100
3100,61488,0.7534,-1532.5203,0.1400,4311.6196,342.24,0.5884,-1.0647,-56.5363,-10.0263,1.1769,0.0000,-4.5702,-6.3058,-0.0100
3200,63480,0.7465,-1556.9992,0.1900,19979.1855,375.26,0.8478,-1.0746,-58.4429,-10.8764,1.6955,0.0833,-4.2852,-6.2797,-0.0100
