Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
100,1939,0.9911,-2002.6789,0.0100,3303.6084,24.35,0.0455,-1.1250,-77.3746,-11.1504,0.0909,0.0000,-5.7489,-6.3991,-0.0100
200,3922,0.9821,-1969.4723,0.0200,5273.9883,49.91,0.0805,-1.1322,-74.0237,-11.2289,0.1610,0.0000,-6.4717,-6.2422,-0.0100
300,5879,0.9733,-1986.2247,0.0000,6327.2539,75.13,0.0000,-1.1323,-76.6097,-10.6883,0.0000,0.0000,-6.0483,-6.3642,-0.0100
400,7844,0.9645,-1938.4915,0.0400,7667.9893,99.24,0.1672,-1.1139,-74.2347,-10.8718,0.3345,0.0000,-6.3327,-6.3387,-0.0100
500,9879,0.9555,-2051.4925,0.0400,10101.5459,125.53,0.1726,-1.1190,-75.1081,-10.8098,0.3452,0.0000,-6.5042,-6.1122,-0.0100
600,11849,0.9469,-2000.8040,0.0200,10206.0215,150.34,0.0952,-1.1389,-76.4750,-10.8407,0.1905,0.0000,-5.9818,-6.3889,-0.0100
700,13912,0.9379,-2083.0113,0.0200,11971.2100,177.52,0.0799,-1.1316,-75.9997,-10.8017,0.1599,0.0000,-5.9338,-6.0682,-0.0100
800,15977,0.9291,-2064.1945,0.0500,7624.5317,207.14,0.2057,-1.1403,-75.7475,-10.9807,0.4114,0.0000,-5.6942,-5.9662,-0.0100
900,18058,0.9202,-2056.1541,0.0300,16419.6328,237.09,0.1125,-1.1172,-74.2291,-10.4621,0.2251,0.0000,-6.4760,-5.9893,-0.0100
1000,20159,0.9113,-2035.2811,0.1000,10911.0791,268.40,0.3964,-1.1185,-73.8583,-10.5318,0.7928,0.0000,-6.7186,-5.9353,-0.0100
1100,22186,0.9029,-1905.1987,0.0700,8332.7461,300.41,0.2690,-1.1109,-70.6432,-10.6697,0.5380,0.0000,-5.6730,-6.1341,-0.0100
