Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
100,1971,0.9910,-2561.9471,0.0400,4248.0200,23.56,0.1604,-1.1366,-78.5343,-11.0639,0.3207,0.0000,-32.0289,-6.2871,-0.0100
200,3917,0.9821,-2435.4936,0.0100,10459.1621,48.42,0.0400,-1.1308,-74.4063,-11.0406,0.0800,0.0000,-30.4870,-6.3636,-0.0100
300,5930,0.9731,-2597.7513,0.0300,8257.4287,73.98,0.1185,-1.1335,-73.8909,-11.2854,0.2369,0.0000,-34.5972,-6.1407,-0.0100
400,7985,0.9639,-2640.4605,0.0500,5624.5244,100.73,0.1980,-1.1313,-79.0772,-10.8788,0.3960,0.0000,-30.2474,-6.0127,-0.0100
500,9956,0.9552,-2506.5121,0.0200,16705.8477,126.46,0.0799,-1.1423,-76.5364,-11.6722,0.1599,0.0000,-29.6721,-6.2629,-0.0100
600,11922,0.9466,-2458.9256,0.0100,18517.7617,152.45,0.0333,-1.1262,-73.4452,-11.1156,0.0667,0.0000,-31.2783,-6.3328,-0.0100
700,13859,0.9382,-2318.3817,0.0100,18503.9375,178.43,0.0323,-1.1306,-71.3634,-11.3759,0.0645,0.0000,-27.4340,-6.4268,-0.0100
800,15796,0.9298,-2402.7747,0.0300,22527.9023,203.87,0.1268,-1.1177,-73.1582,-10.9386,0.2536,0.0000,-30.1295,-6.4286,-0.0100
900,17743,0.9215,-2477.7437,0.0400,21008.8613,229.37,0.1820,-1.1404,-72.6772,-11.4337,0.3640,0.0000,-33.2342,-6.4449,-0.0100
1000,19710,0.9132,-2349.0567,0.0600,7069.8208,256.34,0.2632,-1.1486,-75.5872,-11.2653,0.5264,0.0000,-24.7602,-6.3356,-0.0100
1100,21675,0.9050,-2402.7515,0.0700,14562.0986,283.59,0.3114,-1.1492,-76.2154,-11.2209,0.6228,0.0000,-27.1088,-6.2998,-0.0100
1200,23586,0.8971,-2275.7351,0.0100,12281.7988,310.41,0.0417,-1.1254,-70.9084,-11.1951,0.0833,0.0000,-26.4544,-6.5557,-0.0100
1300,25570,0.8889,-2431.9464,0.0400,22441.0195,338.84,0.1821,-1.1156,-72.6355,-10.8145,0.3642,0.0000,-30.4670,-6.2396,-0.0100
1400,27604,0.8806,-2440.8174,0.0300,19086.1562,371.01,0.1489,-1.1405,-72.9488,-10.5965,0.2978,0.0000,-27.7287,-6.1111,-0.0100
1500,29593,0.8726,-2407.7429,0.0200,11720.6211,400.28,0.0870,-1.1195,-68.6548,-11.1194,0.1739,0.0000,-31.6371,-6.2106,-0.0100
1600,31619,0.8645,-2328.8206,0.0600,12959.7529,427.41,0.2270,-1.1235,-68.3911,-10.9089,0.4541,0.0000,-26.5310,-6.1703,-0.0100
1700,33601,0.8566,-2342.4622,0.0600,14600.1064,453.95,0.2427,-1.1128,-68.9732,-10.8882,0.4853,0.0000,-29.2356,-6.3568,-0.0100
1800,35634,0.8487,-2274.9753,0.0900,26883.3438,482.32,0.3523,-1.0936,-65.0245,-10.8639,0.7047,0.0000,-28.2264,-6.1213,-0.0100
1900,37683,0.8407,-2252.0709,0.1300,13598.0029,511.48,0.5755,-1.0969,-64.6940,-10.5812,1.1510,0.0000,-26.9765,-6.0866,-0.0100
2000,39716,0.8329,-2280.3133,0.0300,15874.1973,539.72,0.1378,-1.1050,-66.3069,-10.5537,0.2756,0.0000,-26.3400,-6.1248,-0.0100
2100,41783,0.8250,-2221.5717,0.0900,28157.3242,569.28,0.4072,-1.0818,-62.7156,-10.1841,0.8145,0.0000,-26.9935,-6.0402,-0.0100
2200,43790,0.8174,-2092.3517,0.1100,32672.0430,600.02,0.4513,-1.0852,-61.8151,-11.0837,0.9025,0.0000,-24.4617,-6.2329,-0.0100
2300,45801,0.8098,-2159.6331,0.1300,6194.7871,628.74,0.5562,-1.0810,-62.6632,-10.9767,1.1123,0.0000,-26.7815,-6.1824,-0.0100
2400,47874,0.8021,-2179.1853,0.1500,5603.7090,660.03,0.6249,-1.0789,-61.7232,-10.9289,1.2499,0.0000,-26.4435,-5.9564,-0.0100
