Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
18500,1563165,0.0100,98343.0000,712.0200,14824.8408,2682.44,57.7292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1865,0.0000
18600,1758523,0.0100,117451.6000,847.6300,52358.8906,6246.05,59.2875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0978,0.0000
18700,1947494,0.0100,114314.6000,819.0100,1154.2329,9632.32,58.6822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1491,0.0000
