Episode,TotalSteps,Epsilon,AvgTotalReward100,AvgLines100,Loss,TimeElapsed,Avg_Scorech_100,Avg_Heightp_100,Avg_Holep_100,Avg_Bumpine_100,Avg_Linesr_100,Avg_Combor_100,Avg_Well_oc_100,Avg_Game_ov_100,Avg_Piece_d_100
18000,1094309,0.0100,28452.0000,206.5500,26719.2305,1245.14,49.9858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5341,0.0000
18100,1146586,0.0100,29343.0000,210.0300,28277.5312,2484.51,51.9529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.4645,0.0000
18200,1204128,0.0100,33017.0000,233.7600,16336.5508,4066.92,52.1796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5058,0.0000
18300,1291514,0.0100,50858.4000,363.7900,26611.9746,6264.98,54.1452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.3876,0.0000
